track_name,artist_name,cluster
Love That Girl,Raphael Saadiq,0
He Called Me Baby,Candi Staton,0
Lift My Blues,Sherry Dyanne,6
So Caught Up,The Teskey Brothers,0
Inner City Blues,Molly Johnson,6
A Long Time,Mayer Hawthorne,0
It's A Shame - Remastered,The Spinners,2
Love The One You're With,The Isley Brothers,0
Inspiration Information,Shuggie Otis,0
Mercy Mercy Me (The Ecology),Marvin Gaye,3
I Think I'll Call It Morning,Gil Scott-Heron,0
Seven Days in Sunny June,Jamiroquai,0
Let's Stay Together,Al Green,6
Multiply,Jamie Lidell,0
45,Thomas Dybdahl,0
Easy To Come Home,Dojo Cuts,0
Easy To Come Home,Roxie Ray,0
Walk on By,Dionne Warwick,6
Summer Breeze,The Isley Brothers,0
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,0
Wake up Everybody (feat. Common & Melanie Fiona),John Legend,0
Wake up Everybody (feat. Common & Melanie Fiona),The Roots,0
Wake up Everybody (feat. Common & Melanie Fiona),Common,0
Wake up Everybody (feat. Common & Melanie Fiona),Melanie Fiona,0
How Does It Feel - Radio Edit,Giovanca,3
Piece of My Heart,Erma Franklin,2
No Love Dying,Gregory Porter,6
The Good Life,Ben L'Oncle Soul,1
Little Bit of Feel Good,Jamie Lidell,7
Help Yourself,Amy Winehouse,0
Trouble,José James,0
Tired Of Being Alone,Al Green,0
Feel Like Makin' Love,Roberta Flack,5
Monkey See-Monkey Do,Michael Franks,1
Painted On Canvas,Gregory Porter,9
Kissing My Love,Sabrina Starke,0
Bridge over Troubled Water,Aretha Franklin,6
Coming Home,Leon Bridges,9
A Change Is Gonna Come,Sam Cooke,9
Next Time,Curtis Harding,0
Mad About You,Son Little,0
Crystal Ball (In The Cupboard),Kris Berry,0
Then You Can Tell Me Goodbye,Bettye Swann,6
Spooky,Dusty Springfield,0
Tender,Bo Saris,6
Private Number,William Bell,7
Private Number,Judy Clay,7
River,Leon Bridges,6
Walk the Way You Talk,Dionne Warwick,6
W.E.L.F.A.R.E,Antonio Castro,7
I'd Rather Go Blind,Etta James,9
Sunny,Bobby Hebb,0
Tell Me A Tale,Michael Kiwanuka,0
Family Affair,Sly Stone,0
Just For Me,Al Green,0
Harlem,Bill Withers,0
I Keep Forgettin' (Every Time You're Near),Michael McDonald,0
Cissy Strut,The Meters,3
Heart of Gold,Charles Bradley,0
Heart of Gold,Menahan Street Band,0
Stormy Weather,Etta James,9
Our Day Will Come,Amy Winehouse,0
In the Middle of the Game (Don’t Change the Play),Betty Wright,0
In the Middle of the Game (Don’t Change the Play),The Roots,0
Bad Bad News,Leon Bridges,0
Lowdown,Boz Scaggs,0
Right As Rain,Adele,0
A Sunday Kind Of Love,Etta James,6
Can't Take My Eyes Off of You - (I Love You Baby),Ms. Lauryn Hill,0
Tears Dry On Their Own,Amy Winehouse,3
Alright,Jordan Rakei,9
The World (Is Going Up In Flames),Charles Bradley,0
The World (Is Going Up In Flames),Menahan Street Band,0
Let Me Down Easy,Bettye LaVette,6
Traffic Jam,Ruben Hein,2
Something's Got A Hold On Me,Etta James,7
The Addict,Bo Saris,2
Les Fleurs,Minnie Riperton,2
Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",5
I'm Getting Ready,Michael Kiwanuka,0
I Only Have Eyes for You,The Flamingos,9
What Will It Be?,Room Eleven,6
How Come You Don't Call Me,Alicia Keys,9
Inside My Love - Remastered,Minnie Riperton,6
Let's Take a Walk,Raphael Saadiq,0
Son of a Preacher Man,Aretha Franklin,0
I've Been Loving You Too Long,Otis Redding,9
Walk On By,Trijntje Oosterhuis,6
Walk On By,Metropole Orkest,6
Use Me,Bill Withers,0
I Don't Know,Ruth Brown,6
Baby,Donnie & Joe Emerson,6
Demise - Radio Edit,Wouter Hamel,0
"Baby, This Love I Have",Minnie Riperton,0
Ladies,Lee Fields & The Expressions,2
Ladies,Lee Fields,2
Mr. Big Stuff,Jean Knight,0
The Family,Nina Simone,2
Fool By Morning,Ruben Hein,0
I Am The Black Gold Of The Sun,Rotary Connection,0
I Am The Black Gold Of The Sun,Minnie Riperton,0
This Land Is Your Land,Sharon Jones & The Dap-Kings,0
Please Love Me,Liam Bailey,0
I Want You,Marvin Gaye,0
Lucky Man,Courtney John,0
The Walk,Mayer Hawthorne,0
The Sweetest Taboo - Remastered,Sade,0
Love Is A Losing Game,Amy Winehouse,2
I Believe to My Soul,Donny Hathaway,2
Distance,Emily King,0
Got To Give It Up - Pt. 1,Marvin Gaye,0
At the Hotel,Eunice Collins,6
Like a Ship,Pastor T.L. Barrett and the Youth for Christ Choir,2
Try A Little Tenderness,Otis Redding,0
Feelin' Alright,Joe Cocker,0
Just Ain't No Love,Barbara Acklin,3
You Send Me - Mono,Sam Cooke,6
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,0
Afro Blue,Robert Glasper,0
Afro Blue,Erykah Badu,0
Comin' Home Baby,Mel Tormé,2
Ruler Of My Heart,Irma Thomas,9
Cigarettes and Coffee,Otis Redding,9
The Ghetto,Donny Hathaway,0
Free,Deniece Williams,6
I Feel the Earth Move,Carole King,2
I'll Be Around - 2003 Remaster,The Spinners,0
People Get Ready - Single Version,The Impressions,9
I'm Back for More,Al Johnson,0
I'm Back for More,Jean Carn,0
I Put A Spell On You,Nina Simone,9
Listening Man,The Bees,2
100 Yard Dash,Raphael Saadiq,0
Come to Mama,Ann Peebles,0
Let's Straighten It Out,The Revelations featuring Tre Williams,0
Express Yourself - Remastered Version,Charles Wright & The Watts 103rd Street Rhythm Band,0
Who Is He (And What Is He to You?),Bill Withers,0
Somebody To Love,Ruben Hein,2
Heavy Love Affair,Marvin Gaye,0
Spirit in the Dark,Aretha Franklin,2
Space of You,Ntjam Rosie,4
Clean up Woman,Betty Wright,0
Yes We Can - Pt. 1,Lee Dorsey,0
Fancy,Bobbie Gentry,6
Got to Get You off My Mind,Solomon Burke,0
Strawberry Letter 23,The Brothers Johnson,0
Popsicle Toes,Michael Franks,6
People Say,The Meters,0
Hard Times,Baby Huey,0
I Never Loved a Man (The Way I Love You),Aretha Franklin,2
1612,Vulfpeck,1
Think Twice,Donald Byrd,3
Think Twice,Kay Haith,3
Ooo Baby Baby,Raquel Rodriguez,9
Ooo Baby Baby,Stan Taylor,9
Come To My Door - Acoustic Version,José James,6
Now You've Got The Upper Hand,Candi Staton,3
Forgive My Soul,Giovanca,0
What Kind of Cool - Will We Think of Next,Cody Chesnutt,0
Cruisin',D'Angelo,0
Nothing Can Come Between Us,Sade,0
Hercules,Aaron Neville,2
Just Ain't Gonna Work Out,Mayer Hawthorne,0
Love And Happiness,Al Green,0
Hey Nineteen,Steely Dan,0
I’m A Good Woman,Barbara Lynn,1
Rosie,Ruben Hein,6
"Baby, I Love You",Aretha Franklin,0
Until You Came Into My Life,Ann Peebles,6
Respect Yourself - Single Edit,The Staple Singers,0
Hang on in There,Mike James Kirkland,0
Be Thankful for What You've Got - David Todd Remix,William DeVaughn,0
Get to Know Ya - Remastered 2021,Maxwell,0
You Better Stop It,Barbara Mason,3
Get out of My Life Woman,Lee Dorsey,9
It's All Over Your Body,José James,1
I Can't Help It,Michael Jackson,6
The Tracks Of My Tears,Smokey Robinson & The Miracles,0
Compared To What,John Legend & The Roots,0
In Time,Sly & The Family Stone,0
Long Weekend,Trombone Shorty,0
Love Hangover,Diana Ross,0
Sweet Thing,Rufus,0
Sweet Thing,Chaka Khan,0
Wayward Dream,Annette Pointdexter,7
Wayward Dream,Pieces of Peace,7
Smile Please,Stevie Wonder,6
Remember the Rain,Kadhja Bonet,6
90% of Me Is You,Gwen McCrae,0
Black Gold,Esperanza Spalding,6
Black Gold,Algebra Blessett,6
Black Gold,Lionel Loueke,6
Sleep on It,Chaka Khan,0
Beware,Ann Peebles,0
C.R.E.A.M.,El Michels Affair,3
Brown Skin,India.Arie,6
You're Gonna Need Me,Dionne Warwick,2
Body Heat,Quincy Jones,2
You've Become a Habit,Leo Nocentelli,6
Do I Move You?,Nina Simone,9
Knocks Me Off My Feet,Stevie Wonder,2
You Can't Turn Me Away,Sylvia Striplin,2
Wonderful World,Otis Redding,0
Something,Snarky Puppy,7
Something,Lalah Hathaway,7
It's Love,Jill Scott,2
My Guy,Mary Wells,0
Bet Ain't Worth the Hand,Leon Bridges,6
Fell In Love With A Boy,Joss Stone,1
"What's Going On - Live at the Troubador, Los Angeles, CA",Donny Hathaway,7
Clean Up America,Z.Z. Hill,2
Suspicious,June Noa,0
Down in the Valley - Mono; 2018 Remaster,Otis Redding,0
Concrete Reservation,Syl Johnson,0
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight & The Pips,2
Trouble Man,Marvin Gaye,6
Charlene,Anthony Hamilton,1
Goosebumps - Remix,Travis Scott,0
Goosebumps - Remix,HVME,0
Going Dumb,Alesso,3
Going Dumb,CORSAK,3
Motley Crew,Post Malone,3
Levitating (feat. DaBaby),Dua Lipa,0
Levitating (feat. DaBaby),DaBaby,0
Nobody To Love (with Loren Gray),TELYKast,3
Nobody To Love (with Loren Gray),Loren Gray,3
OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,0
OUT OUT (feat. Charli XCX & Saweetie),Jax Jones,0
OUT OUT (feat. Charli XCX & Saweetie),Charli XCX,0
OUT OUT (feat. Charli XCX & Saweetie),Saweetie,0
High,The Chainsmokers,0
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0
INDUSTRY BABY (feat. Jack Harlow),Jack Harlow,0
Nobody,NOTD,0
Nobody,Catello,0
My Heart Goes (La Di Da) (feat. Topic),Becky Hill,0
My Heart Goes (La Di Da) (feat. Topic),Topic,0
1 Day 2 Nights,HRVY,0
BED,Joel Corry,0
BED,RAYE,0
BED,David Guetta,0
Paradise (feat. Dermot Kennedy),MEDUZA,0
Paradise (feat. Dermot Kennedy),Dermot Kennedy,0
Turning Me Up (Hadal Ahbek),Issam Alnajjar,0
Turning Me Up (Hadal Ahbek),Loud Luxury,0
Turning Me Up (Hadal Ahbek),Ali Gatie,0
Piece Of Me (with LOVA),Gryffin,3
Piece Of Me (with LOVA),LOVA,3
MONTERO (Call Me By Your Name),Lil Nas X,2
Don't You Hold Me Down,Alan Walker,3
Don't You Hold Me Down,Georgia Ku,3
Astronaut In The Ocean,Masked Wolf,0
Goodbye,Imanbek,0
Goodbye,Goodboys,0
Off Of My Mind,Icona Pop,1
Off Of My Mind,VIZE,1
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled,7
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",Post Malone,7
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DaBaby,7
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",Megan Thee Stallion,7
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",Lil Baby,7
Another Level (ft. Lovespeake),Timmy Trumpet,3
Another Level (ft. Lovespeake),Lovespeake,3
Tell It To My Heart,MEDUZA,7
Tell It To My Heart,Hozier,7
We're Still Young,Nicky Romero,2
We're Still Young,W&W,2
We're Still Young,Olivia Penalva,2
Sweet Dreams,Alan Walker,0
Sweet Dreams,Imanbek,0
Chain My Heart,Topic,0
Chain My Heart,Bebe Rexha,0
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,3
Heartbreak Anthem (with David Guetta & Little Mix),David Guetta,3
Heartbreak Anthem (with David Guetta & Little Mix),Little Mix,3
First Time,ILLENIUM,2
First Time,iann dior,2
One More Dance (with Alida),R3HAB,9
One More Dance (with Alida),Alida,9
Shockwave,Marshmello,2
"The Business, Pt. II",Tiësto,3
"The Business, Pt. II",Ty Dolla $ign,3
Tears For Later,Don Diablo,1
Tears For Later,Galantis,1
Do It Anyway (with Icona Pop),DVBBS,7
Do It Anyway (with Icona Pop),Icona Pop,7
Unbreakable (with Sam Gray),TELYKast,0
Unbreakable (with Sam Gray),Sam Gray,0
Oceans & Galaxies,Jauz,0
Oceans & Galaxies,HALIENE,0
When I’m Gone (with Katy Perry),Alesso,7
When I’m Gone (with Katy Perry),Katy Perry,7
The Motto,Tiësto,0
The Motto,Ava Max,0
What's Up,Gaullin,7
What's Up,Lucky Luke,7
Silver Lining,Andrew Rayel,0
Run,OneRepublic,0
You Got The Love,Never Sleeps,0
You Got The Love,Afrojack,0
You Got The Love,Chico Rose,0
Believe Me,Navos,0
Somebody New,TELYKast,3
Kids (feat. MKLA),KSHMR,7
Kids (feat. MKLA),Stefy De Cicco,7
Kids (feat. MKLA),MKLA,7
Mood (feat. iann dior),24kGoldn,0
Mood (feat. iann dior),iann dior,0
Impossible (feat. John Martin),David Guetta,2
Impossible (feat. John Martin),MORTEN,2
Impossible (feat. John Martin),John Martin,2
Lifetime (with Ty Dolla $ign & 070 Shake),Swedish House Mafia,7
Lifetime (with Ty Dolla $ign & 070 Shake),Ty Dolla $ign,7
Lifetime (with Ty Dolla $ign & 070 Shake),070 Shake,7
My Universe - Galantis Remix,Coldplay,0
My Universe - Galantis Remix,BTS,0
My Universe - Galantis Remix,Galantis,0
FEELING GUD,NGHTMRE,1
FEELING GUD,SLANDER,1
FEELING GUD,Matthew Santos,1
Up All Night (feat. Afrojack),VINAI,0
Up All Night (feat. Afrojack),Hard Lights,0
Up All Night (feat. Afrojack),Afrojack,0
Your Love (9PM),ATB,3
Your Love (9PM),Topic,3
Your Love (9PM),A7S,3
Hear Me Say,Jonas Blue,0
Hear Me Say,LÉON,0
Pressure (feat. Tove Lo),Martin Garrix,3
Pressure (feat. Tove Lo),Tove Lo,3
Run It (feat. Rick Ross & Rich Brian),DJ Snake,3
Run It (feat. Rick Ross & Rich Brian),Rick Ross,3
Run It (feat. Rick Ross & Rich Brian),Rich Brian,3
Remember,Becky Hill,3
Remember,David Guetta,3
Heart On My Sleeve,GATTÜSO,3
Heart On My Sleeve,Laidback Luke,3
Heart On My Sleeve,Sarah Reeves,3
One More Day (with Chandler Leighton),Jason Ross,2
One More Day (with Chandler Leighton),Blanke,2
One More Day (with Chandler Leighton),Chandler Leighton,2
Moth To A Flame (with The Weeknd),Swedish House Mafia,3
Moth To A Flame (with The Weeknd),The Weeknd,3
Lemonade,Internet Money,0
Lemonade,Gunna,0
Lemonade,Don Toliver,0
Lemonade,NAV,0
I Wish (feat. Mabel),Joel Corry,0
I Wish (feat. Mabel),Mabel,0
Follow Me,Sam Feldt,0
Follow Me,Rita Ora,0
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,1
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Nightcrawlers,1
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Mufasa & Hypeman,1
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Dopamine,1
Wasted Love (feat. Lagique),Ofenbach,0
Wasted Love (feat. Lagique),Lagique,0
Learn To Love Me (feat. Ryan Tedder),David Solomon,6
Learn To Love Me (feat. Ryan Tedder),Ryan Tedder,6
Soon Not Later,Lady Bee,0
Soon Not Later,Dame1,0
Big (feat. Gunna),Rita Ora,0
Big (feat. Gunna),David Guetta,0
Big (feat. Gunna),Imanbek,0
Big (feat. Gunna),Gunna,0
Sacrifice,Bebe Rexha,0
Sad Songs (feat. L Devine),Route 94,0
Sad Songs (feat. L Devine),L Devine,0
Do It To It,ACRAZE,0
Do It To It,Cherish,0
Hitta (feat. Juicy J),Marshmello,0
Hitta (feat. Juicy J),Eptic,0
Hitta (feat. Juicy J),Juicy J,0
HOLIDAY,Lil Nas X,0
Deep End - SIDEPIECE Remix,John Summit,0
Deep End - SIDEPIECE Remix,SIDEPIECE,0
Bulletproof,La Roux,0
Bulletproof,GAMPER & DADONI,0
Life After You,Sunnery James & Ryan Marciano,3
Life After You,RANI,3
Skydance,W&W,7
Skydance,AXMO,7
Skydance,Giin,7
Come & Go (with Marshmello),Juice WRLD,0
Come & Go (with Marshmello),Marshmello,0
Way Out (feat. Big Sean),Jack Harlow,0
Way Out (feat. Big Sean),Big Sean,0
Where The Lights Are Low,Toby Romeo,1
Where The Lights Are Low,Felix Jaehn,1
Where The Lights Are Low,FAULHABER,1
Set Me Free (feat. MAX),Oliver Heldens,0
Set Me Free (feat. MAX),Party Pupils,0
Set Me Free (feat. MAX),MAX,0
Used to Be (Rasster Remix),GASHI,2
Used to Be (Rasster Remix),Rasster,2
Kill Me Better,Don Diablo,3
Kill Me Better,Imanbek,3
Kill Me Better,Trevor Daniel,3
RAPSTAR,Polo G,1
Gotta Be You,NERVO,0
Gotta Be You,Carla Monroe,0
I Won,Ty Dolla $ign,2
I Won,Jack Harlow,2
I Won,24kGoldn,2
Way 2 Sexy (with Future & Young Thug),Drake,0
Way 2 Sexy (with Future & Young Thug),Future,0
Way 2 Sexy (with Future & Young Thug),Young Thug,0
Your Body,Valentino Khan,3
Your Body,Nitti Gritti,3
Nights Like This - PBH & Jack Remix,Loud Luxury,0
Nights Like This - PBH & Jack Remix,CID,0
Nights Like This - PBH & Jack Remix,PBH & JACK,0
One Night Away,ARTY,0
Too Much (feat. Usher),Marshmello,0
Too Much (feat. Usher),Imanbek,0
Too Much (feat. Usher),Usher,0
Spicy (feat. Post Malone),Ty Dolla $ign,6
Spicy (feat. Post Malone),Post Malone,6
It Don’t Matter - Spotify Singles,Alok,0
It Don’t Matter - Spotify Singles,Sofi Tukker,0
It Don’t Matter - Spotify Singles,INNA,0
Like Gold,Loud Luxury,0
Like Gold,Frank Walker,0
Like Gold,Stephen Puth,0
Distant Memory (with Timmy Trumpet x W&W),R3HAB,3
Distant Memory (with Timmy Trumpet x W&W),Timmy Trumpet,3
Distant Memory (with Timmy Trumpet x W&W),W&W,3
Alive,Zeds Dead,3
Alive,MKLA,3
Sicko Drop,KVSH,3
Sicko Drop,Schillist,3
CTRL + ALT + DEL,Rêve,1
Switch Back,Quintino,3
Miss You,SLANDER,3
Miss You,Ganja White Night,3
All We Got (feat. KIDDO) - Ofenbach Remix,Robin Schulz,0
All We Got (feat. KIDDO) - Ofenbach Remix,KIDDO,0
All We Got (feat. KIDDO) - Ofenbach Remix,Ofenbach,0
Together,SIDEPIECE,0
Hey Baby (feat. Gia Koka),Imanbek,1
Hey Baby (feat. Gia Koka),Afrojack,1
Hey Baby (feat. Gia Koka),Gia Koka,1
Take Control,KREAM,3
Wolves (feat. Post Malone),Big Sean,0
Wolves (feat. Post Malone),Post Malone,0
Birdz (with Smokepurpp),Wuki,7
Birdz (with Smokepurpp),Smokepurpp,7
Love Again (feat. Alida),Alok,3
Love Again (feat. Alida),Alida,3
Ball If I Want To,DaBaby,1
Closer (feat. Lilly Ahlberg),Sonny Fodera,0
Closer (feat. Lilly Ahlberg),Just Kiddin,0
Closer (feat. Lilly Ahlberg),Lilly Ahlberg,0
By Your Side (feat. Tom Grennan),Calvin Harris,0
By Your Side (feat. Tom Grennan),Tom Grennan,0
Streets - DJ Sliink Remix,Doja Cat,6
Streets - DJ Sliink Remix,DJ Sliink,6
Thunder,Gabry Ponte,9
Thunder,LUM!X,9
Thunder,Prezioso,9
Break A Sweat,Sophie Francis,0
Light of Mine,WHIPPED CREAM,3
Light of Mine,Jimorrow,3
Dandelion,Galantis,0
Dandelion,JVKE,0
Last Time,Becky Hill,0
Pepas,Farruko,0
Party Olympics,BODYWORX,0
